"","Gene","padj"
"4","ERICH3",0.000257665844192973
"2056","FCER1A",0.000257993836107808
"758","PPP2R5A",0.000258673189138291
"1483","TRIM8",0.000258673189138291
"1626","GLRX",0.000259538395553212
"652","NTAQ1",0.000259860537060347
"66","CLEC4A",0.000260583246500703
"121","B4GALT1",0.000260583246500703
"1490","TRBV28",0.000264303519100723
"1175","DSE",0.000265252137238473
"488","LETM1",0.000265575476570083
"1540","AC092042.3",0.000265575476570083
"1752","CASS4",0.000265978902906912
"1036","SLC9A3R1",0.000266621241854491
"1016","RPL7P23",0.000266784836505166
"404","SCNN1G",0.000267692697942658
"161","NOTCH3",0.000270509882962583
"1807","KCTD11",0.00027061471407108
"777","CCN2",0.000271878729330532
"2090","IGKV2D-29",0.000271931405552338
"1706","UXT",0.000274884020404393
"1513","TPSB2",0.000275715935923143
"1392","UBE2W",0.000277149490397488
"2004","NOTCH4",0.000277310979756233
"618","TFEB",0.000278329350938194
"17","CAPG",0.000279981089762955
"1806","CREB3L1",0.000281111528994146
"725","UBE2V1",0.000282506510383142
"596","SNCAIP",0.000283191715028982
"48","EBI3",0.000287331843585167
"683","CCDC12",0.000289675279798533
"1550","PLEKHG1",0.000289675279798533
"1580","RPS6KA1",0.00029032379141874
"410","NEXN",0.000291767692531752
"1113","TSC22D3",0.000291831902853173
"663","LGMNP1",0.0002926320481842
"2041","EIF4EBP2",0.000294209636078715
"1060","TECPR1",0.000294484948155265
"650","PVRIG",0.000295384947934415
"1039","RPL34",0.000296710339689778
"189","RPS15",0.000297865177333656
"162","IKBKE",0.000302388927357266
"427","KLF2",0.000302388927357266
"1833","NFKBID",0.000302388927357266
"397","LAIR2",0.000303216102978547
"599","GALNT15",0.00030434842109859
"667","TRAV38-2DV8",0.000304937614921519
"1329","KIF5A",0.000305032107481189
"19","ZSWIM1",0.000305056823119854
"1157","ATP13A4",0.000305056823119854
"1889","NME8",0.000305056823119854
"881","IPO7",0.000305535661261865
"1720","RPSAP58",0.000306493588889546
"1491","NLRP7",0.000307220063010001
"409","BNC1",0.000309023613983763
"1063","ADTRP",0.000309023613983763
"1300","AC098614.2",0.000309023613983763
"2103","F10",0.000309947508589935
"255","TPSAB1",0.000311172581517256
"381","SCARA3",0.000311172581517256
"20","IL6",0.000311316584542191
"1004","CRIPT",0.000312396291165726
"513","PODN",0.000314239690699139
"1397","TTC39B",0.00031447428332639
"538","MN1",0.000316579304061959
"1062","IGFN1",0.000316763560327036
"283","NIFK",0.000317084605716158
"509","MLLT10",0.000321777589828507
"1633","RPL22P1",0.000322332845674725
"1858","STAT2",0.000322332845674725
"254","SUGT1",0.000323337212420947
"1050","KCP",0.000325613916460904
"80","AC099548.2",0.000325727476861118
"1235","KIF13B",0.0003267587640644
"266","DESI2",0.000327254975193964
"1670","FGF10",0.000327759186945154
"1696","TMPRSS4",0.000328167604434033
"1099","ECEL1",0.000328216159014023
"1996","MLNR",0.000329372204830999
"1956","MB21D2",0.000331554775958214
"1211","RPS24P8",0.000331951863840645
"1946","ELOVL5",0.000331951863840645
"118","SERPIND1",0.000334430645801076
"289","IGLV4-69",0.000334430645801076
"955","CHGB",0.00033713388529195
"1047","MAP3K8",0.000337177012533059
"2118","TRAF1",0.000340252868546163
"496","EFNB1",0.000342808166488715
"43","FAM133CP",0.000343515287945784
"835","ZNF713",0.000344903665258935
"621","YME1L1",0.00034674394924457
"120","UPF3B",0.000348983316778948
"348","MMP19",0.000348983316778948
"1731","CCL5",0.000349330562843288
"2051","CERS3",0.000349583474699033
"2124","GSC",0.000352853434053319
"804","CFAP58",0.000353344950876391
"89","TRAV9-2",0.000355563277392266
"1962","CXCL11",0.000356048179279023
"375","AC018475.1",0.000357394659328449
"1737","SKA3",0.000361825665015469
"169","TRBV3-1",0.000361899747592107
"1296","CCDC138",0.000362577893081182
"1179","RMDN3",0.0003628888696841
"83","ASGR1",0.000363295163255522
"1337","DUOX1",0.000368836969489329
"1262","UBXN2A",0.000374247811352561
"588","HTRA4",0.000374361359750159
"1078","CCDC80",0.000374361359750159
"925","SLIT3",0.000375287100969937
"2035","RASSF1",0.000375287100969937
"475","RAN",0.000375452353931375
"653","MUC12",0.000375458409388618
"931","SOCS3",0.000376136506856248
"1447","FOSL2",0.000376136506856248
"1999","YIPF3",0.000376255378472868
"370","KCNK1",0.000376479363401778
"1893","FOXL1",0.000381048528233984
"1863","C2",0.000382411787824696
"1750","SUCNR1",0.000383102775767996
"1907","PPIAP19",0.000384549570271736
"1162","SAAL1",0.000384622758008358
"204","UNC5B",0.000391444599238806
"1961","CD40",0.000394063416460655
"226","TNFRSF17",0.000395230162471281
"1022","STAT3",0.000395230162471281
"76","DNAH17",0.000396293655021824
"327","IGKV1D-33",0.000397588600703167
"356","C18orf21",0.000399487234748702
"1971","MYOF",0.00040321478942626
"461","GOLGA2P7",0.000403662290269102
"1528","PLEKHG4B",0.000403803400988125
"534","CCL4L2",0.000404664895910992
"587","IL17RE",0.000405229430959291
"2132","PRRC1",0.000405229430959291
"1601","ARIH1",0.000406096230497705
"37","SMCO2",0.000408524266416983
"976","RABEP2",0.000408983013337764
"1236","TSG101",0.000408983013337764
"1685","SNRPA1P1",0.000409804431191157
"458","MINK1",0.000411659248385291
"1484","IL27RA",0.000416666464624927
"58","PAIP1",0.000421022384015818
"1468","TMCO4",0.00042336481551962
"2135","RNF149",0.000425018200410878
"174","IPO5",0.000427557386569384
"1993","DNAH8",0.000427557386569384
"482","SUV39H2",0.000429992808538682
"2079","FXYD2",0.000431550291140841
"2121","MRPL15",0.000431789985385872
"317","TNFRSF11B",0.000432845365542595
"953","DKK2",0.000433179488714342
"93","RPL23A",0.000433574521473587
"1572","RRAD",0.000436143622823683
